idFrame,name,description
845,Accuracy,"An #Agent is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location, time).

The #Agent, or metonymically the #Instrument or #Means action, is described in terms of the actual or expected #Deviation between the location, time, or quantity in the activity and the location, time, or quantity which is necessary for the intended event.

<ex>[The Longview Rangefinder|Instrument] is [accurate|Target] [to within one foot per hundred yards|Deviation] .</ex>
<ex>[His estimate|Means] was [off|Target] [by an order of magnitude|Deviation] .</ex>

<ex>[The fork truck operator|Agent] must be [fairly|Degree] [accurate|Target] [in his aim|Means].</ex>

<ex>The [precision|Target] [of the daily measurements|Means] is dependent on a number of factors.</ex>"
372,Achieving_first,"A #Cognizer introduces a #New_idea into society.

<ex>It is difficult to imagine how different our lives would be without [Edison's|Cognizer] [invention|Target] [of the light bulb.|New_idea]</ex>

"
612,Active_substance,"A #Substance causes an #Effect.  The #Substance is produced by a process understood as directed towards the #Effect.  The #Name for the material that makes up the substance may also be given.

<ex>A rationale for using [denatured gp160|sub] as a [therapeutic|eff] [agent|Target] in HIV-infected people is to boost the immune response .</ex>

<ex>[The quinolones|sub] now seem to <m>be</m> the [antimicrobial|eff] [agents|Target] of choice for acute bacterial prostatitis.</ex>

<ex>[Hormonally|eff] [active|Target] [chemicals|sub] have the potential to cause significant environmental injury.</ex>

<ex>Only after the potion has been drunk does the [active|Target] [ingredient|sub] form. [DNI|eff]</ex>

<ex>The [sarin|nam] [[agent|sub]|Target] might have been a leftover shell from a chemical-arms dump. </ex>"
113,Activity,"This is an abstract frame for durative activities, in which the #Agent enters an ongoing state of the #Activity, remains in this state for some #Duration of #Time, and leaves this state either by finishing or by stopping.   The #Agent's #Activity should be intentional.

This frame is intended mostly for the inheritance of common FEs, and to provide the frame structure for the beginning, ongoing, finish, or stop stage of an #Activity, each of which constitutes a subframe of this frame. This frame should be compared to the Process frame."
152,Activity_abandoned_state,An #Agent is in an unfinished part of an activity.
164,Activity_done_state,"An #Agent has completed an #Activity.
<ex></ex>
<ex>Finally [I|Agent] am [done|Target] [cleaning the apartment|Activity].</ex>

<ex>[Construction on the new Safeway|Activity] <m>was</m> [done|Target] [by October|Time].</ex>"
149,Activity_finish,"An #Agent finishes an #Activity, which can no longer logically continue. This frame is a subframe of #Activity.
<ex></ex>
<ex>[Jason|Agent] [completed|Target] [grading the papers|Activity] [late Sunday night|Time].</ex>

<ex>Upon [completion|Target] [of the final exam|Activity], [Ava|Agent] tossed out her notes. </ex>"
148,Activity_ongoing,"An #Agent is performing the portion of an #Activity in which there is dynamic stability.
<ex></ex>
<ex>Not noticing the hoards of people rushing by the window, [Manny|Agent] [continued|Target] [eating his lunch|Activity].</ex>

<ex>[Keep|Target] [living the dream|Activity]!</ex>

"
151,Activity_pause,"An #Agent pauses in the course of an #Activity.
<ex></ex>
<ex>[The government|Agent] [froze|Target] [settlement construction|Activity] [in 1992|Time] [to facilitate peace talks|Purpose].</ex>

<ex>The lifting of the [nuclear|Activity] [freeze|Target] was deemed necessary to generate needed electricity.</ex>"
163,Activity_paused_state,"An #Agent remains in a particular stage of an #Activity, without progressing in the activity."
154,Activity_prepare,"An #Agent prepares for an #Activity.
<ex></ex>
<ex>[The troops|Agent] were [preparing|Target] [themselves|Agent] [for the mission|Activity].</ex>

<ex>[The boats|Agent] are [getting|Target] [ready|Target] [to leave the pier|Activity].</ex>"
153,Activity_ready_state,"The #Protagonist is in an initial state, before beginning to be involved in the #Activity, but all pre-conditions for performance of the #Activity have been satisfied.  In many cases, the #Protagonist is an intentional agent, but there are other uses in which the agent is deprofiled, and the #Protagonist is an entity which is essential to the #Activity.
Alternatively, the #Activity may be indicated by a #Salient_entity which stands in for the #Activity.  This #Salient_entity may also be an intentional agent, but need not be.

<ex>[She|pro] <m>'s</m> not [ready|Target] ! [DNI|act].</ex>
<ex>[He|pro] <m>'s</m> [ready|Target] [to talk|act] , I think .</ex>
<ex><m>Is</m> [the UK government|pro] [ready|Target] [to do a u-turn on passport-ID cards|act] ?</ex>
<ex>Check and see if [Sal|pro] <m>is</m> [ready|Target] [for the bathtub|sal] .</ex>
<ex>[The world|pro] <m>is</m> finally [prepared|Target] [for him|sal] !</ex>"
557,Activity_resume,"An #Agent resumes participation in an #Activity. Progress on the #Activity is retained from before the interruption.

<ex>[Normal Service|act] Will Be [Resumed|Target] [Shortly|Time]. [CNI|age]</ex>

[The Kinshasa government|age] has [resumed|Target] [supporting Rwandan rebels|act]."
134,Activity_start,"An #Agent initiates the beginning of an ongoing #Activity in which he will be continuously involved.
<ex></ex>
<ex>[At the same time|Time], [city-states|Agent] [began|Target] [to grow in influence|Activity] [on the southern Greek mainland|Place].</ex>

<ex>Naturally, [I|Agent] [started|Target] [crying|Activity] [to get out of work|Purpose].</ex>

"
150,Activity_stop,"An #Agent ceases an #Activity without completing it.
<ex></ex>
<ex>[After the lawsuit|Time], [the company|Agent] [stopped|Target] [producing the once very profitable toy|Activity].</ex>

<ex>[The rugby club|Agent] [terminated|Target] [negotiations with Argyll|Activity] [in September 1988|Time].</ex>"
708,Actually_occurring_entity,"Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an #Instance of a #Type encountered in a relation or event in the real world is presented as being different from the instance found in the non-real world. Of course, the real-world #Instance of the expected #Type may also be presented as not occurring, as in the last example below.


<ex>[Actual|Target] [results|Type] may vary.</ex>
<ex>[ACTUAL results|ins] may vary.</ex>

<ex>Also present is the [actual|Target] [policeman|Type], now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.</ex>
<ex>Also present is [the ACTUAL policeman|ins], now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.</ex>

<ex>Of course, an [actual|Target] [car|Type] with all these capabilities simply did not exist.</ex>
<ex>Of course, [an ACTUAL car|ins] with all these capabilities simply did not exist.</ex>
"
191,Addiction,"This frame concerns an #Addict's physiological or psychological compulsive dependence on an #Addictant, the substance or behavior to which the #Addict is addicted.
<ex></ex>
<ex>Although she was never a big fan of drugs, [she|Addict] <m>became</m> [hooked|Target] [on that designer drug|Addictant] instantly.</ex>

<ex>[He|Addict] <m>is</m> a [cocaine|Addictant] [addict|Target].</ex>

<ex>There are some [cocaine|Addictant] [[addicts|Addict]|Target] living in the house across the street.</ex>"
436,Adding_up,"A #Cognizer computes a #Result on the basis of input #Numbers by addition.


<ex> [Add|Target] [up|Target] [your savings|Numbers].</ex>
<ex> This is a cumulative figure obtained by [adding|Target] [up|Target] [the cost of treating a given volume of specific diseases|Numbers]. </ex>
<ex>When [he|Cognizer] later took the trouble to [add|Target] [up|Target] [the bill|Numbers] he discovered that the actual cost was Fr 1,481 , around 140 pounds : an overcharge of 40 pounds</ex>
<ex>[Chaperones|Cognizer]  [tallied|Target] [the number of tickets sold at the school dance|Numbers] [at more than 1000|Result].</ex>"
720,Adducing,"A #Speaker mentions a #Specified_entity filling a #Role, thereby providing information which supports a point of the #Speaker.

<ex>He cites [the chief original observations|Specified_entity] [adduced|Target] [by Darwin|Speaker] [as evidence for his theory|Role].</ex>

<ex>[Mexico|Speaker] [cited|Target] [the drought|Specified_entity], now in its eighth year, [to avoid releasing Texas' full share of 110 billion gallons per year from the reservoirs|Purpose]. [DNI|Role]</ex>

<ex>[An objector|Speaker] will [immediately|Time] [point|Target] [to the lack of stability of this  simple, some will say simple-minded, hierarchy|Specified_entity]. [DNI|Role]</ex>

<ex>She expected a restaurant as their meeting place, but instead [the lady|Speaker] [named|Target] [the hotel where she was staying|Specified_entity].[DNI|Role]</ex>

<ex>Where is the second-order neural pattern located? [Damasio|Speaker] already [pointed|Target] [to the cingulate cortex|Specified_entity] [in his 1994 book|Medium].</ex>"
1192,Adjacency,"A #Figure is located adjacent to a #Ground. This is equivalent to the #Figure and #Ground either constituting or being associated with a zone, with each zone in contact with the zone of the other.

<ex>[The two houses|Figures] were [adjacent|Target] , so she bought them together .</ex>
<ex>[The bedroom|Figure] [adjoining|Target] [hers|Ground] was much smaller .</ex>
<ex>[The park|Figure] [borders|Target] [a very upscale neighborhood|Ground] .</ex>
<ex>While you solder , make sure the [neighboring|Target] [pins|Figure] don't get overheated . [DNI|Ground] </ex>

This frame is intended to cover productive metaphor cases such as those found in """"adjacent web pages""""--referring to pages that metaphorically """"share a border"""" by virtue of sharing a hyperlink, as well as many additional cases of entities which are cognitively associated in other ways.  There are a number of less productive metaphors that are also intended to be included in this frame, e.g. """"behavior bordering on lunacy"""", """"cleanliness is next to godliness"""", despite the fact that conventionally we do not find """"adjacent to lunacy"""", etc.  Though these expressions sound creative, they are immediately understandable and contextually unobjectionable."
630,Adjusting,"An #Agent changes a #Part of a complex entity with regard to some #Feature in order to achieve some #Imposed_purpose affected by the #Feature.  The complex entity is often a device or mechanism, but may also be an abstract entity such as the economy.  Also, the full entity may be used in place of the #Part.

<ex>[I|Agent] need to [adjust|Target] [the thermostat|Part] [to around 80 degrees|Final_value] [when she visits|Time].</ex>
<ex>It didn't work the first time , so [she|Agent] had to [tweak|Target] [the oven|Part] [a little|Degree] .</ex>
<ex>Greenspan expressed confidence that the [current|Time] [calibration|Target] [of interest rates|Feature] was not an overcompensation .</ex>"
711,Adopt_selection,"An #Agent has an #Attribute which can take different #Values, and the #Agent selects and then begins to use some #Value for that #Attribute.  The #Attribute includes both physical (shape, color) and abstract (belief, practice) types.  For some LUs in this frame, it is common for only the #Value to be expressed, with the #Attribute implicit. (Often this implicit attribute can be given second-layer expression on the #Value. Note that such second-layer annotation should be assumed in the first two examples below.)

<ex>[They|age] scoff at their opponents and [assume|Target] [an air of superior knowledge|val]</ex>
<ex>There are times when [teachers|age] should [adopt|Target] [a neutral stance|val] in discussion of morally controversial issues.</ex>
<ex>A person does not have to make the statement """"[I|age] [adopt|Target] [this|val] [as my position|att]"""" to do so.</ex>
"
504,Aesthetics,"An #Entity is judged to be sensually pleasing or intellectually interesting to a (generally implicit) #Viewpoint.


<ex>We saw this [beautiful|Target] [boat|Ent] with the red sails several times</ex>
<ex>We camped here on the beach and had an [absolutely|Deg] [lovely|Target] [early morning walk through farm fields|Entity]</ex>
"
1367,Affirm_or_deny,"A #Speaker uses language to affirm or deny the truth of a #Message to some #Addressee. Instead of (or in addition to) a #Speaker, a #Medium may also be mentioned. Likewise, a #Topic may be stated instead of a #Message.

<ex>[She|Speaker] [affirmed|Target] [her loyalty to the cause|Message].</ex>

<ex>[He|Speaker] [denied|Target] [that he had ever believed in the existence of God|Message].</ex>

<ex>[BBC News|Med] [confirmed|Target] [the story about the refugees|Top].</ex>
"
491,Age,"An #Entity has existed for a length of time, the #Age. The #Age can be characterized as a value of the age #Attribute, or a #Degree modifier may express the deviation of the #Age from the norm. The #Expressor exhibits qualities of the age of the #Entity.

<ex>[This building|Entity] <m>is</m> [twenty thousand years|Age] [old|Target].</ex>

<ex>[My grandpa|Entity] <m>is</m> [really|Degree] [old|Target]</ex>

<ex>[Junior|Entity] <m>is</m> [only five weeks|Age] [old|Target].</ex>

<ex>A cunning [oldish|Target] [voice|Expressor] called out from the crowd.</ex>

<ex>[His|Entity] [[age|Target]|Attribute] was [23|Age] [at the time|Time].</ex>

<ex> [People|Entity] <m>of</m>  [[age|Target]|Attribute] [55|Age] or older should consult their physician. </ex>

<ex>I have a [13-year|Age]-[old|Target] [cousin|Entity]</ex>

<ex>[My grandma|Entity] <m>is</m> [old|Target]</ex>

There are additional patterns that the LUs in this frame occur in which are not licensed by a particular lexical head but by a construction.  Additionally, there are patterns that evoke this frame without any overt lexical head that are part of this frame.


<ex>She is 45 years of [age|Target].</ex>
<ex>Billy  is 13.</ex>




"
94,Aggregate,"This frame contains nouns denoting #Aggregates of #Individuals.  The #Aggregates may be described by an #Aggregate_property.

<ex>An [[army|Agg]|Target] [of postal workers|Individuals] descended on my office.</ex>

"
857,Aging,"An #Entity is undergoing a change in age typically associated with some deterioration or change in state.

<ex>[This bark|Entity] [ages|Target] and turns black.</ex>

<ex>The U.S. is to upgrade [aging|Target] [missile defense systems|Entity] with advanced tech.</ex>
"
741,Agree_or_refuse_to_act,"A #Speaker either agrees to or refuses to engage in a #Proposed_action, proposed by an #Interlocutor.
<ex></ex>
<ex>[They|Speaker] [agreed|Target] [to express their outrage with editorials in today's paper|pro].</ex>

<ex>[The man's|Speaker] [refusal|Target] [to accept blood|pro] severely hampered his treatment after the car accident.</ex>
"
892,Agriculture,"In this frame an #Agriculturist cultivates #Food.  The location or #Ground where the #Food is cultivated by the #Agriculturist is often expressed.

<ex></ex>
<ex>[Peasants|Agriculturist] were encouraged to [cultivate|Target] [basic food crops such as beans and corn|Food]</ex>.

<ex>[Shrimp|Food] [farming|Target] seems to be a recipe for disaster</ex>

<ex>[Some fields|Ground] were probably [cultivated|Target] [only in the dry season|Time] [CNI|Agriculturist]</ex>"
843,Aiming,"An #Agent adjusts an #Instrument to enable it to interact directly with a difficult-to-access #Target_location.  Usually, there is a #Targeted entity at the #Target_location which is mentioned in its place.

<ex>If [you|Agent] [aim|Target] [your weapons|Instrument] [somewhere else|Target_location] , I 'll be more likely to talk .</ex>
<ex>[The sortie|Means] [targeted|Target] primarily [resupply points|Targeted] , but these included several civilian areas . [INI|Instrument]</ex>
<ex>[A good marksman|Agent] still should take [aim|Target] [for a moment|Duration] [before each shot|Time] . [INI|Instrument] [INI|Target_location]</ex>"
899,Alignment_image_schema,An #Alignment_match region has the same orientation as the relatively linear #Ground.  The #Alignment_mismatch region is oriented perpendicularly to the #Ground.
1474,Allergens,
704,Alliance,"After having worked separately for some time, two or more organizational or individual #Members are now organized in an #Alliance so that they may better pursue some common #Purposes.  The formerly separate #Members may be presented separately as #Member_1 and #Member_2.

<ex>[They|Members] formed a [loose|Descriptor] [[coalition|Target]|Alliance].</ex>"
867,Alternatives,"There exist a number of different possible #Situations that may happen in the future.  (In some cases, the #Situation is concurrent or past, and only the knowledge of which has happened is in the future.)  In most cases, there is an #Agent involved who has to consider which of the possible #Situations will or should occur.  A #Salient_entity which is deeply involved in the #Situation may also be mentioned.

<ex>[You|Agent] <ment>have</ment> [but two|Number_of_possibilities] [[choices|Situation]|Target] [for your daughter|Salient_entity] .</ex>

While all the members of this frame denote possible situations, in principle, this frame could be split into a number of subtypes on the following basis:
<ex></ex>1. Future.n, and most uses of alternative.n and possibility.n all evoke nothing more than a simple possible situation (not necessarily an #Situation) with no #Agent; the remaining frames would inherit from this.
<ex></ex>2. Use.n evokes different possible things that can be done with a #Salient_entity (i.e., #Purposes) and thus uses the Using frame; in this frame, the target denotes the #Purpose that can be achieved.
<ex></ex>3. way.n evokes different events that can lead to an Outcome (not necessarily a #Purpose); this frame should use the Means frame.  In this frame, the target denotes the possible Means actions.
<ex></ex>4. option.n, choice.n, and many instances of alternative.n and possibility.n, evoke possible #Situations that an implicit or explicit #Agent can bring about at will.  A #Purpose that would be served by bringing these #Situations about may be mentioned. A #Salient_entity related to the #Purpose may occur in place of the #Purpose.

"
1208,Alternativity,"In this frame, there is a #Profiled_alternative that the speaker wishes to primarily focus on and which is mutually exclusive with a #Contrasting_alternative.  It is not possible for both to be true in the same context with the same participants, although the described situation may be true of the same entities at different times, or true of different entities at the same time.  Frames inheriting from this one, e.g. Negation, may indicate which of the alternatives is imagined to be the case, but in other frames related to this one, e.g. Conditional_scenario and Alternatives, both alternatives are presented as possible, and which one is true remains an open question."
458,Amalgamation,"These words refer to #Parts merging to form a #Whole.  (The #Parts may also be encoded as #Part_1 and #Part_2.)  There is a symmetrical relationship between the components that undergo the process, and afterwards the #Parts are consumed and are no longer distinct entities that are easily discernable or separable in the #Whole.

<ex>[The two droplets|Parts] [merge|Target], and then travel down the windowpane even faster.</ex>"
657,Amassing,"A #Recipient (who may or may not be agentive) ends up in possession of a #Mass_theme (which may be conceptualized as a single mass entity, or may be a group of individual entities).  Some lexical units (e.g. [stockpile|Target]) specifically indicate an intentional #Recipient.

This frame differs from Gathering_up in that this frame refers specifically to the acquisition and (according to expectation) long-term possession of entities, rather than (as in the Gathering_up frame) simply talking about causing a group of entities to be located in the same place.  In sum, Gathering_up concerns (co-)locations, but Amassing concerns possession.

<ex>[Bogs|Recipient] [accumulate|Target] [carbon|Mass_theme] [for thousands of years|Duration].</ex>"
518,Ambient_temperature,"The #Temperature in a certain environment, determined by #Time and #Place, is specified.

<ex>It's [too|deg] [hot|Target] [to do anything|deg] [today|tim].</ex>

<ex>[Nome|pl] <m>is</m> [pretty|deg] [cold|Target] [this time of  year|tim]</ex>

<ex>[Last Tuesday|tim] <m>was</m> a [real|deg] [scorcher|Target].</ex>

<ex>[Tomorrow|tim] is gonna <m>be</m>  [chilly|Target].</ex>
<ex>I ca n't go out into the [cold|Target] . [DNI|Place] [DNI|Time]</ex>
"
696,Ammunition,"A piece of #Ammunition is a disposable artifact to be fired as a projectile in a weapon with the purpose of causing harm or damage.

<ex>The octagenarian inventor's vest repels [armor-piercing|Use] [[bullets|amm]|Target]. </ex>

<ex>It is armed with a automatic loaded 105 mm gun firing [anti-tank|Use] [[rounds|amm]|Target]</ex>

<ex>[Depleted uranium|Material] [[munitions|amm]|Target] are primarily used by the US and the UK.</ex>"
434,Amounting_to,"The absolute #Value of a quantifiable #Attribute  of an item is determined by adding up the values for the #Attribute of the individuals or parts that make up the item. The item is not expressed as a separate constituent but it is presupposed by the concept of #Attribute.  Alternatively, the #Numbers form an implicit set whose sum is the #Value associated with the set.   In some cases what is reported is just the cardinality of the individuals that make up the item so that in effect the #Value is a count. In other cases the identity of the #Attribute can only be inferred from the #Value.

There is no cognizer on the scene in this frame. Instead, the frame focuses on the relationship between the #Attribute or #Numbers and the #Value, which is stable and unchanging regardless of who performs  the calculation.

<ex>Defence is provided in West Germany by [armed forces whose number|Attribute] [totals|Target] [close to half a million men and women|Value] </ex> .
<ex> [Revenues|Attribute] [totalled|Target] [568.86m pounds|Value] </ex>
<ex>The WHO estimated that the cumulative [total|Target] [of AIDS cases|Attribute] was [more than 1,500,000|Value]. </ex>"
1184,Animals,"The LUs in this frame refer to biological entities other than human beings and plants, which are labeled by the FE #Animal.

<ex></ex>

<ex>My husband and I adopted a [really sweet|Char] [dog|Animal] last year.</ex>

<ex>The [cows|Animal] [that live on the farm down the road|Descriptor] are always mooing loudly.</ex>"
917,Annoyance,"An #Experiencer, #Expressor, or #State has a feeling of annoyance as evoked by a #Stimulus or concerning a #Topic.

<ex>[Peck|Experiencer] was [annoyed|Target] [at the interruption|Stimulus].</ex>

<ex>Maggie noted [his|Experiencer] [rather|Degree] [irritated|Target] [expression|Expressor].</ex>

"
412,Appeal,In the Appeal stage of the criminal process the #Convict or his or her #Representative applies to a higher #Court to reverse the #Decision of the lower court on certain #Grounds. <ex> [The defense|Representative] plans to [appeal|Target] [the court's decision|Decision] [on the grounds that the judge violated Code 81.b|Grounds] . </ex> <ex> [John Michaels|Convict] will [appeal|Target] [his conviction|Decision] .</ex>
1016,Appellations,"This frame is only for words that are used as the #Titles of individuals. The #Title is applied to a #Name (surname or full name) and often designates their rank within a man-made institution (e.g. chief, king, bishop, brother) or general social status (mr., miss), or may indicate a kinship relationship (cousin, aunt). Pairings of Title and Name can be used as vocatives (see Attention_getting), while the Titles may not always be vocative on their own.

<ex>He saluted [[General|Target]|Title] [Fightmeister|Name] walking into the room.</ex>
<ex>Everyone stood as [[Captain|Target]|Title] [Jack Aubrey|Name] delivered a toast.</ex>
<ex>[Supreme Court|Context] [Chief|Type] [[Justice|Title]|Target] [John Roberts|Name] is sticking to his guns .</ex>
<ex>[[Captain|Title]|Target] [Mike Eruzione|Name] [of the USA Miracle on Ice hockey team in 1980|Con] turns 58 today.</ex>

Most LUs of this frame are related to LUs of the Leadership or Kinship frames, but some (e.g. Lady, Mr., Brother) occur only here.  These LUs differ from normal examples of LUs in Leadership or Kinship in that the LUs are used simply as vocatives or as modifiers of names, to indicate how the individual fits into the general or specific social context."
1427,Appliances,"A device or machine, mainly electrical, developed to perform a specific task. Several properties of the #Appliance can be specified, such as its #Creator, #Time_of_creation, #Name, #Type, #Origin, #Constituent_parts, #Description, #Material of which it is composed, #Quantity and the #Place where it is."
212,Apply_heat,"A #Cook applies heat to #Food, where the #Temperature_setting of the heat and #Duration of application may be specified.  A #Heating_instrument, generally indicated by a locative phrase, may also be expressed. Some cooking methods involve the use of a #Medium (e.g. milk or water) by which heat is transferred to the #Food.  A less semantically prominent #Food or #Cook is marked #Co-participant.

<ex>[Sally|Cook] [fried|Target] [an egg|Food] [in butter|Medium].</ex>
<ex>[Sally|Cook] [fried|Target] [an egg|Food] [in a teflon pan|Heating_instrument].</ex>
<ex>[Ellen|Cook] [fried|Target] [the eggs|Food] [with chopped tomatoes and garlic|Co-participant].</ex>

This frame differs from Cooking_creation in focusing on the process of handling the ingredients, rather than the edible entity that results from the process."
862,Appointing,"A #Selector, often an individual in a leadership role, appoints an #Appointee to assume a #Role in an organization (which can be expressed as the #Body).

<ex>[Press secretaries|Selector] [accredit|Target] [journalists|Appointee] [to the sessions|Body].</ex>

Words of this frame are often used to describe Change_of_leadership situations, since Change_of_leadership is perhaps the most frequent kind of Appointing."
490,Architectural_part,"An entity is integrated into a building as a #Part of a (possibly unexpressed) #Whole which may refer to the whole building or merely to a sub-part of the building.

<ex>We need [new|Dsc] [[counters|Target]|Part] for the kitchen</ex>

<ex>The storm ripped off the [bathroom's|Whole] [[roof|Target]|Part]</ex>

"
978,Arithmetic,"This frame describes a certain type of mathematical scenario in which two numbers, labeled #Term1 and #Term2, interact via some mathematical operation."
987,Arithmetic_commutative,"This frame describes types of arithmetic operations and statements which have the commutative property, i.e. the operation is bi-directional, e.g. addition and multiplication. The terms involved are either individually labeled #Term1 and #Term2 or grouped together as a single noun phrase labeled #Terms. "
980,Arithmetic_non-commutative,"This frame describes types of arithmetic operations and statements which are not commutative, i.e. the operation is uni-directional, e.g. subtraction and division. Because of the non-commutative nature, terms must be separated from each other in the form of #Term_1 and #Term_2 instead of a combined Terms FE."
1073,Armor,"An #Asset, the safety of which is desirable, is protected from damage by a covering, the #Armor. The #Armor covers part or all of the #Asset and is designed to absorb force from an oncoming #Danger.

<ex>They were wearing nothing but primitive [wooden|mat] [[armor|Armor]|Target].</ex>

<ex>An extra level of safety is provided by [the soldiers'|Asset] [ballistic|Danger] [[armor|Armor]|Target].</ex>"
109,Arraignment,"At a court hearing, a #Defendant is informed of the #Charges against him or her, (usually) enters a plea, and a decision is made by a #Judge as to the amount of bail, if any.
<ex></ex>
<ex>[Mortimer and Isabella|Defendant] were hurried off and [arraigned|Target] [before parliament|Judge] [in November|Time].</ex>

<ex>If the court rejects the appeal, [the 19 young men|Defendant]  <m>face</m>[arraignment|Target] [on murder charges|Charges] [before the tribunal|Judge] [in the southern city of Port Harcourt|Place].</ex>
"
481,Arranging,"An #Agent puts a complex #Theme into a particular #Configuration, which can be a proper order, a correct or suitable sequence, or a spatial position.

<ex>[He|Agent] [arranged|Target] [the elements|Theme] [in the pattern that we now call the periodic table|Configuration].</ex>

<ex>Try to [order|Target] [them|Theme] [by importance|Configuration]. [CNI|Agent] </ex>
"
182,Arrest,"#Authorities charge a #Suspect, who is under suspicion of having committed a crime (the #Charges), and take him/her into custody.<ex>[The police|Authorities] [arrested|Target] [Harry|Suspect] [on charges of manslaughter|Chrg].</ex>"
1224,Arrival,"A #Tourist arrives at the #Destination and, later, to the housing option of her choice. The means of transportation can be various, such as automobiles, planes or ships. The trip can happen with the #Co-participant and involve the carrying of #Luggage."
1268,Arrival_at_destination,The #Tourist arrives at the #Destination where s/he will engage in some touristic activity.
1266,Arrival_at_lodge,"The #Tourist arrives at the #Lodge, where s/he will stay for some time."
48,Arriving,"An object #Theme moves in the direction of a #Goal. The #Goal may be expressed or it may be understood from context, but its is always implied by the verb itself.
<ex></ex>
<ex>[Some students|Theme] [arrived|Target] [at the school|Goal] [on Sunday|Time].</ex>

<ex>It was [his|Theme] [arrival|Target] [at Nijmegen|Goal] [in 837|Time] that made the Vikings withdraw.</ex>
"
126,Arson,"A #Perpetrator intentionally sets fire to his own or someone else's property, often in order to collect an insurance payment on this property.

<ex>[Two men|Perpetrator] were charged with [[arson|Target]|Offense].</ex>"
