frameName,numFrameElements,coreTypes,elementNames,descriptions,frameType,classificationExplanation
Accomplishment,8,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Agent', 'Goal', 'Means', 'Instrument', 'Place', 'Time', 'Manner', 'Duration']","['The conscious entity, generally a person, that performs the intentional act that fulfills the #Goal.', 'The state or action that the #Agent has wished to participate in.\n\n<ex>Iraq had <t>achieved</t> <fex name=""goa"">its programme objective of producing nuclear weapons</fex> . </ex>', 'An intentional action performed by the #Agent that lets them accomplish their #Goal. \n\n<ex>Can you , too , <t>achieve</t> omniscience <fex name=""Mns"">by calling on the power of God</fex> ?</ex>', 'An entity directed by the #Agent that allows them to achieve their #Goal.\n\n<ex><fex name=""Ins"">With a simple hammer and saw</fex> , you can <t>accomplish</t> almost anything !</ex>', 'This FE identifies the place where the #Agent achieves their #Goal.\n\n<ex>She had already <t>achieved</t> that feat <fex name=""Place"">in Burma</fex> .</ex>', 'This FE identifies the time when the #Agent achieves their #Goal.\n\n<ex><fex name=""Time"">By 1700</fex> , our forces will have <t>achieved</t> total victory .</ex>', 'Any description of the event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). It may also indicate salient characteristics of the #Agent that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully). \n\n<ex>Perhaps you <t>achieved</t> perfection <fex name=""man"">too quickly</fex> .</ex>', 'The length of time that it takes for #Goal to be accomplished.']","['Event', 'State', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Accoutrements,11,"['cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Accoutrement', 'Wearer', 'Style', 'Material', 'Descriptor', 'Use', 'Part', 'Body_location', 'Creator', 'Time_of_creation', 'Name']","['It identifies  the #Accoutrement.', 'The #Wearer wears the #Accoutrement.', 'It identifies  the #Style of the #Accoutrement. ', 'It identifies the #Material from which the #Accoutrement is made.', 'It identifies a characteristic or description of the #Accoutrement.', 'It identifies the purpose for which an #Accoutrement is worn or made.', 'It identifies a part of the #Accoutrement.', 'It identifies the place on the body where a particular #Accoutrement is located.', 'The individual or group who created the #Accoutrement.', 'The time at which the #Accoutrement was created.', 'A name given to an individual #Accoutrement to distinguish it from all other objects.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Accuracy,5,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_core']","['Agent', 'Means', 'Degree', 'Instrument', 'Deviation']","['The individual who tries to interact with the #Target.\n\n<ex><fex name=""Agent"">The mailman</fex> is very <t>exact</t> about addresses -- he has to be .</ex>', 'This FE identifies the #Means by which the #Agent attempts to hit a #Target_value.', 'How closely the expected or actual location that the #Instrument interacts with corresponds to the #Target_value.', 'The object manipulated by the #Agent in order to interact with the #Target.', 'Expected or actual deviation from the #Target_value.\n\n<ex>For this they would need a thermometer <t>accurate</t> <fex name=""Deviation"">to within a microkelvin</fex>. </ex>']","['Attribute', 'Event']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner."
Achieving_first,10,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Cognizer', 'New_idea', 'Time', 'Place', 'Means', 'Purpose', 'Field', 'Instrument', 'Manner', 'Basis']","['The #Cognizer comes up with or conceptualizes the #New_idea. It is normally expressed as an External Argument.', 'The #New_idea is a concept not previously present in society which the #Cognizer introduces.', 'It identifies the #Time when the #Cognizer comes up with the #New_idea.', 'It identifies the #Place where the #Cognizer comes up with the #New_idea.', 'It identifies the #Means by which the #Cognizer accomplishes the innovative achievement.', 'It identifies the #Purpose for which the #Cognizer creates the #New_idea.', 'The #Field is the general domain of endeavor to which the #Cognizer is contributing and of which the #New_idea is a part.', 'An entity used by the #Cognizer to achieve the introduction of the #New_idea into society.', 'Any description of the creative event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). In addition, it may indicate salient characteristics of a #Cognizer that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully).', 'The conceptual material from which the #Cognizer invents the #New_idea.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Active_substance,4,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Effect', 'Substance', 'Type', 'Name']","['The change brought about by the Substance.', 'The internally undifferentiated physical entity that has an #Effect.', 'This FE indicates what subtype of the general category the #Substance belongs to.', 'The name of the material that makes up the active #Substance.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Activity,6,"['cty_core', 'cty_core-unexpressed', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Agent', 'Activity', 'Duration', 'Place', 'Time', 'Manner']","['The #Agent is engaged in the #Activity.', 'It identifies the #Activity in which the  #Agent  is engaged.', 'It identifies the amount of #Time an #Activity takes.', 'It identifies the #Place where the #Activity occurs.', 'It identifies the #Time when the #Activity occurs.', 'Any description of the activity which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). It may also indicate salient characteristics of an #Agent that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully).']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Activity_abandoned_state,5,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Agent', 'Activity', 'Time', 'Duration', 'Place']","['It identifies the #Agent in an unfinished #State of an activity.', 'The process that the #Agent is performing.', 'The time at which the #Agent and Activity remain unfinished.', 'The length of time that the #Activity remains unfinished.', 'The location at which the #Activity is no longer in progress.']","['Event', 'State', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Activity_done_state,4,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Agent', 'Activity', 'Time', 'Place']","['It identifies the #Agent in a done state of an the #Activity.', 'It identifies the #Activity in which the #Agent was engaged.', 'The point at which the #Agent is done with the #Activity.', 'The location where the #Agent finishes the #Activity.']","['Event', 'State', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Activity_finish,8,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Agent', 'Activity', 'Manner', 'Place', 'Time', 'Means', 'Purpose', 'Degree']","['It identifies the #Agent who has finished an #Activity.', 'It identifies the #Activity that the #Agent has finished.', 'It identifies the #Manner an #Agent is engaged in finishing an #Activity.', 'It identifies the #Place where the #Agent finishes the #Activity.', 'It identifies the #Time when the #Activity finishes.', 'It identifies the #Means by which an #Agent finishes an #Activity.', 'It identifies the #Purpose for which an #Agent finishes for an #Activity.', 'It describes the how near the agent is to finishing.']","['Attribute', 'Event', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Activity_learning,14,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Student', 'Subject', 'Skill', 'Teacher', 'Subjects', 'Duration', 'Goal', 'Instrument', 'Place', 'Manner', 'Means', 'Explanation', 'Time', 'Degree']","['Student', 'Subject', 'Skill', 'Teacher', 'Subjects', 'Duration', 'Goal', 'Instrument', 'Place', 'Manner', 'Means', 'Explanation', 'Time', 'Degree']","['Attribute', 'Event', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Activity_ongoing,7,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Duration', 'Activity', 'Agent', 'Place', 'Time', 'Manner', 'Means']","['It denotes the length of #Time from the beginning of a continuous situation (the one denoted by the target) to its end. In many cases, the continuous situation is a dynamic action which is ongoing, while in others it is simply an undifferentiated state.', 'It identifies the name of the ongoing #Activity in which an #Agent engages.', 'The #Agent engages in an ongoing #Activity.', 'It identifies the #Place where the ongoing #Activity occurs.', 'It identifies the #Time when an ongoing #Activity occurs.', 'It identifies the #Manner in which an #Agent performs an ongoing #Activity.', 'It identifies the #Means by which an #Agent engages in an ongoing #Activity.']","['Event', 'State', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Activity_pause,9,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Activity', 'Agent', 'Manner', 'Means', 'Place', 'Time', 'Purpose', 'Completeness', 'Duration']","['It identifies the #Activity for which an #Agent is pausing.', 'An #Agent pauses in the course of an #Activity.', 'It identifies the #Manner in which an #Agent pauses during the course of an #Activity.', 'It identifies the #Means by which an #Agent pauses in the course of an #Activity.', 'It identifies the #Place where an #Agent pauses in the course of an #Activity.', 'It identifies the #Time at which an #Agent pauses in the course of an #Activity.', 'It identifies the #Purpose for which an #Agent pauses in the course of an #Activity.', 'The extent to which the #Agent pauses in the #Activity.', 'The length of time of the pause in the #Activity.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Activity_paused_state,4,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Agent', 'Activity', 'Time', 'Duration']","['It identifies the #Agent in the paused #State of an activity.', 'The overall event that the #Agent is involved in.', 'The point at which the #Agent paused the #Activity.', 'The length of time that the #Activity does not resume.']","['Event', 'State', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Activity_prepare,8,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Agent', 'Activity', 'Place', 'Time', 'Manner', 'Means', 'Duration', 'Degree']","['An #Agent prepares for an #Activity.', 'It identifies the #Activity for which an #Agent is preparing.', 'It identifies the #Place where an #Agent prepares for an #Activity.', 'It identifies the #Time at which an #Agent prepares for an #Activity.', 'It identifies the #Manner in which an #Agent prepares for an #Activity.', 'It identifies the #Means with which an #Agent prepares for an #Activity.', 'It identifies the length of #Time during which an #Agent prepares for an #Activity.', 'It describes the amount of preparation the #Agent puts into an #Activity.']","['Attribute', 'Event', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Activity_ready_state,5,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Protagonist', 'Activity', 'Salient_entity', 'Time', 'Duration']","['It identifies the #Protagonist in the initial state of an activity.', 'The action that the #Protagonist is prepared to do.', 'An entity which stands in metonymically for the #Activity.', 'The time when the #Protagonist is ready.', 'The length of time that the #Protagonist remains capable of the #Activity without beginning it.']","['Relation', 'State']","FEs show spatial/logical relations: Location, Path, Cause; connects entities or events.; Core FEs: State, Condition; describes static situations; lacks Goal or Result."
Activity_resume,6,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Activity', 'Agent', 'Duration', 'Place', 'Time', 'Manner']","['The #Activity which is being resumed by the #Agent.', 'The #Agent who resumes an #Activity that they were engaged in earlier.', 'The amount of #Time for which the #Activity is resumed.', 'Where the event takes place.', 'When the #Activity is resumed.', 'Any description of the #Activity  which is not covered by more specific FEs, including epistemic modification (probably, presumably, mysteriously), secondary effects (quietly, loudly), and general descriptions comparing events (the same way). It may also mark indications of salient characteristics of the #Agent which affect the #Activity.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Activity_start,7,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Activity', 'Agent', 'Place', 'Purpose', 'Time', 'Manner', 'Means']","['It identifies the #Activity that an #Agent starts.', 'It identifies the being that starts the intentional #Activity.', 'It identifies the #Place where the #Agent starts an #Activity.', 'It identifies the #Purpose for which an #Agent engages in a starting #Activity.', 'It identifies the #Time when the #Agent starts an #Activity.', 'It identifies the #Manner in which an #Agent starts an #Activity.', 'It identifies the #Means by which an #Agent starts an #Activity.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Activity_stop,7,"['cty_core', 'cty_core-unexpressed', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Agent', 'Activity', 'Place', 'Time', 'Manner', 'Duration', 'Degree']","['It identifies #Agent that stops the #Activity.', 'It identifies the #Activity that the #Agent stops.', 'It identifies the #Place where the #Agent stops the #Activity.', 'It identifies the #Time when the #Agent stops the #Activity.', 'It identifies the #Manner in which the #Agent stops the #Activity.', 'It identifies the length of #Time during which the #Activity is stopped.', 'It describes the completeness of stopping.']","['Attribute', 'Event', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Activity_teaching,13,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Activity', 'Teacher', 'Students', 'Topic', 'Subject', 'Classroom', 'Duration', 'Type', 'Level', 'Goal', 'Way', 'Place', 'Time']","['Activity', 'Teacher', 'Students', 'Topic', 'Subject', 'Classroom', 'Duration', 'Type', 'Level', 'Goal', 'Way', 'Place', 'Time']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Actually_occurring_entity,2,"['cty_core', 'cty_core']","['Instance', 'Type']","['The real-world individual, a concrete or abstract thing or an event, which differs from its counterpart in a discourse-salient non-real world.', 'A kind of entity, instances of which are expected to occur in both the real and the non-real world.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Addiction,4,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Addict', 'Addictant', 'Degree', 'Compeller']","['The #Addict is physiologically or psychologically dependent on a substance or a behavior.', '#Addictant is the substance or behavior to which the #Addict is dependent.<ex>Pat defeated <fex name=""Addict"">her</fex> <fex name=""Addictant"">heroin</fex> <t>addiction</t>.</ex>', 'This FE identifies the #Degree to which an #Addict is addicted to the #Addictant.', '#Compeller is the part of a human s body or psyche that compels the #Addict to seek out the #Addictant.\n<ex><fex name=""Addict"">Pat</fex> <m name=""Supp"">is</m> <fex name=""Compeller"">emotionally</fex> <t>addicted</t> <fex name=""Addictant"">to Kim</fex>.</ex>\n<ex><fex name=""Addict"">Cyril</fex> <m name=""Supp"">is</m> <fex name=""Compeller"">physically</fex> <t>addicted</t> <fex name=""Addictant"">to nicotine</fex>.</ex>']",['Attribute'],"FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder."
Adding_up,8,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Cognizer', 'Numbers', 'Result', 'Time', 'Place', 'Purpose', 'Means', 'Manner']","['The person doing the calculation.', 'The #Numbers that are used in the calculation.', ""The outcome of the #Cognizer's calculations."", 'The time at which the #Cognizer operates on the #Numbers.', 'The location where the #Cognizer performs their calculation.', 'The state-of-affairs that the #Cognizer hopes to bring about by calculating.', 'The action performed by the #Cognizer that brings about their calculation of the #Result.', 'A holistic description of the event.']","['Event', 'State', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Adducing,10,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Speaker', 'Medium', 'Specified_entity', 'Role', 'Addressee', 'Manner', 'Means', 'Time', 'Place', 'Purpose']","['The #Speaker is the person who specifies the #Role to be filled by the #Specified_entity.', '#Medium is the physical entity or channel used by the #Speaker to transmit the statement.', 'The entity that the #Speaker identifies as filling a particular #Role.', 'A slot in a particular or generic event or relation whose filler the #Speaker identifies.', 'The #Addressee is the person to whom the #Speaker identifies the filler of a #Role.', 'Any description of the event (or state) which is not covered by more specific FEs,  including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). In agentive frames, it may indicate salient characteristics of an Agent that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully).', 'An act whereby the #Speaker makes a statement.', 'The time when the statement is made.', 'The FE specifies the place where the statement takes place.', 'An action that the #Speaker intends to accomplish by performing the action indicated by adducing the #Specified_entity.']","['Event', 'State', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Adjacency,4,"['cty_core', 'cty_core', 'cty_core-unexpressed', 'cty_peripheral']","['Ground', 'Figure', 'Figures', 'Time']","['The #Ground serves as a basis for describing the location of the #Figure.', 'The #Figure is perceived as located relative to a certain #Ground location. The figure can be an entity or an event.', 'The #Figures are items which mutually serve to identify the location of the other items.', 'The period of time during which the locative relation between #Figure and #Ground obtains.']",['Relation'],"FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Adjusting,11,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Agent', 'Part', 'Feature', 'Means', 'Place', 'Time', 'Final_value', 'Instrument', 'Purpose', 'Manner', 'Degree']","['The individual that controls the value of a #Feature.', 'The part of the complex entity which is changed in the process of adjusting.\n<ex>She <t>adjusted</t> <fex name=""Part"">the injectors</fex> to make the mixture leaner.</ex>', 'The #Feature with respect to which the #Part is adjusted.', 'The action performed by the #Agent which affects the #Part.', 'The location where the adjusting takes place.', 'The time at which the adjusting occurs.', 'The value associated with the #Feature that the system ends up in.', 'An entity manipulated by the #Agent to adjust the #Part and #Feature.', 'The state-of-affairs that the #Agent hopes to bring about by adjusting.', 'Any description of the adjustment act which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). In addition, it may indicate salient characteristics of the #Agent that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully).', 'A characterization of the amount that the #Final_value and Initial_value differ.']","['Attribute', 'Event', 'State', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
